username,nickname,comment,create_time,avatar,total_reply,replies
nian.nian55,Nian Nian,"seandainya..semua pemimpin sama dng.. gubernur Jawa Barat... insyaallah bukan cuma Ternate sja yg sejahtera tapi seluruh Indonesia.....tong p pemimpin walikota maupun gubernur,, harus belajar dari gubernur Jawa Barat.. KDM.",2025-03-21T13:15:39,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0f480d5e4c7a63eee77ada533816c520~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=c2dc6db4&x-expires=1750320000&x-signature=C0t5nEEuWzTQO8zMzfl14vqw9Ck%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,,
mito39720,MITO,harus buat perda tentang sampah,2025-03-21T11:30:19,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/199866d3e1be62ada9cfa2e7d9719f46~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f71514fd&x-expires=1750320000&x-signature=%2BBUX4Yszn9ppCdSSwVH3nYfnqWM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,,
farel.farel482,farel farel,astaga...🤣🤣🤣,2025-03-23T11:45:08,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3afc71eaf5ff991ca3381c60dca4fd2b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f9765030&x-expires=1750320000&x-signature=PZisQgaqQnK3%2FVJbCvAyHTJcpLI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
ugi201122,𝖀𝕲𝕴,akibatnya banjir karna pohon yang di gunung itu di tebang,2025-03-21T12:41:10,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4c683b90ff8e6e4f43a2a69aaae0c7ac~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=3df1d768&x-expires=1750320000&x-signature=bfgiyfpwDOhSKMY7XgEAT9Vn2pU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,,
pegasus991,Who Am I,"harusnya adalagi program normalisasi kali, apalagi Ternate banyak kali mati lebih berbahaya karena debit air tidak bisa diprediksi",2025-03-21T04:49:52,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/490bcd197f89f5037c16a51964cafff9~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f0605987&x-expires=1750320000&x-signature=N46ae8x9Gz9WdNX%2B9KsfhGp9ixY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,,
auliamansur72,Aulia Mansur,penyediaan tmpt sampah yg TDK memadai..,2025-03-21T16:35:03,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c295eb72386f3a009a956c6ed44cce79~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=e6803a25&x-expires=1750320000&x-signature=bV0f2E7brDBZj0tbuRKDwzqQY%2FE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,,
jemsxoxolomel94,Jems Xoxolomel,"Begitulah Alam, Dia Punya Cara Memperbaiki Dan Membersihkan Dirinya Sendiri Dari Kotoran yg Dibuat Manusia.",2025-03-21T07:02:11,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/9b27cd0543475962b039e288cf9cc222~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=fbe6ee34&x-expires=1750320000&x-signature=aD%2FBEs%2B7potPoBa1MRT0hWAf0ek%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
djibran.hudji,Adji,"air meluap depan tempat tinggal karena got nya tdk mampu menampung air, dsebabkn jg got2 dikiri kanan jaln hampir semua ditutup beton, air tra iko got",2025-03-21T16:43:53,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7ee34335d7a71541779c1adfed7af24a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4fdb5dcb&x-expires=1750320000&x-signature=GZe1U7BVlhWTO%2Bobhp2Ij3a4hD0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
afian82,CukCukbe,Kalu subegini mulai Kase salah walikota...,2025-03-22T01:21:58,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f89b75e9&x-expires=1750320000&x-signature=MDUjvPZLcUYOwM0ztBGs0qpECw0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
dhyx82,NZ,"banya rumah yg di pinggir brangka bikin swering sampe kse kecil brangka, deng berenti sdh buang sampah di brangka",2025-03-22T05:45:23,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/26576e9312ae4e3eb54af7072d1c4efe~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f895e130&x-expires=1750320000&x-signature=p75CbimmlYqqoSbDFXkGayLvkRk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
